% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.62	1	0	63	1	4	8	85
0.62	1	0	63	1	6	14	157
0.62	1	0	63	1	1	2	26
0.621	1	0	63	2	2	12	125
0.621	1	0	63	2	3	28	469
0.621	1	0	63	2	4	8	85
0.621	1	0	63	2	6	14	157
0.621	1	0	63	2	1	2	26
0.622	1	0	63	3	2	12	125
0.622	1	0	63	3	3	28	469
0.622	1	0	63	3	4	8	85
0.622	1	0	63	3	6	14	157
0.622	1	0	63	3	1	2	26
0.623	1	0	63	4	2	12	125
0.623	1	0	63	4	3	28	469
0.623	1	0	63	4	4	8	85
0.623	1	0	63	4	6	14	157
0.623	1	0	63	4	1	2	26
0.624	1	0	63	5	2	12	125
0.624	1	0	63	5	3	28	469
0.624	1	0	63	5	4	8	85
0.624	1	0	63	5	6	14	157
0.624	1	0	63	5	1	2	26
0.625	1	0	63	6	2	12	125
0.625	1	0	63	6	3	28	469
0.625	1	0	63	6	4	8	85
0.625	1	0	63	6	6	14	157
0.625	1	0	63	6	1	2	26
0.626	1	0	63	7	2	12	125
0.626	1	0	63	7	3	28	469
0.626	1	0	63	7	4	8	85
0.626	1	0	63	7	6	14	157
0.626	1	0	63	7	1	2	26
0.627	1	0	63	8	2	12	125
0.627	1	0	63	8	3	28	469
0.627	1	0	63	8	4	8	85
0.627	1	0	63	8	6	14	157
0.627	1	0	63	8	1	2	26
0.628	1	0	63	9	2	12	125
0.628	1	0	63	9	3	28	469
0.628	1	0	63	9	4	8	85
0.628	1	0	63	9	6	14	157
0.628	1	0	63	9	1	2	26
0.629	1	0	63	10	2	12	125
0.629	1	0	63	10	3	28	469
0.629	1	0	63	10	4	8	85
0.629	1	0	63	10	6	14	157
0.629	1	0	63	10	1	2	26
0.63	1	0	64	1	2	12	125
0.63	1	0	64	1	3	28	469
0.63	1	0	64	1	4	8	85
0.63	1	0	64	1	6	14	157
0.63	1	0	64	1	1	2	26
0.631	1	0	64	2	2	12	125
0.631	1	0	64	2	3	28	469
0.631	1	0	64	2	4	8	85
0.631	1	0	64	2	6	14	157
0.631	1	0	64	2	1	2	26
0.632	1	0	64	3	2	12	125
0.632	1	0	64	3	3	28	469
0.632	1	0	64	3	4	8	85
0.632	1	0	64	3	6	14	157
0.632	1	0	64	3	1	2	26
0.633	1	0	64	4	2	12	125
0.633	1	0	64	4	3	28	469
0.633	1	0	64	4	4	8	85
0.633	1	0	64	4	6	14	157
0.633	1	0	64	4	1	2	26
0.634	1	0	64	5	2	12	125
0.634	1	0	64	5	3	28	469
0.634	1	0	64	5	4	8	85
0.634	1	0	64	5	6	14	157
0.634	1	0	64	5	1	2	26
0.635	1	0	64	6	2	12	125
0.635	1	0	64	6	3	28	469
0.635	1	0	64	6	4	8	85
0.635	1	0	64	6	6	14	157
0.635	1	0	64	6	1	2	26
0.636	1	0	64	7	2	12	125
0.636	1	0	64	7	3	28	469
0.636	1	0	64	7	4	8	85
0.636	1	0	64	7	6	14	157
0.636	1	0	64	7	1	2	26
0.637	1	0	64	8	2	12	125
0.637	1	0	64	8	3	28	469
0.637	1	0	64	8	4	8	85
0.637	1	0	64	8	6	14	157
0.637	1	0	64	8	1	2	26
0.638	1	0	64	9	2	12	125
0.638	1	0	64	9	3	28	469
0.638	1	0	64	9	4	8	85
0.638	1	0	64	9	6	14	157
0.638	1	0	64	9	1	2	26
0.639	1	0	64	10	2	12	125
0.639	1	0	64	10	3	28	469
0.639	1	0	64	10	4	8	85
0.639	1	0	64	10	6	14	157
0.639	1	0	64	10	1	2	26
0.64	1	0	65	1	2	12	125
0.64	1	0	65	1	3	28	469
0.64	1	0	65	1	4	8	85
0.64	1	0	65	1	6	14	157
0.64	1	0	65	1	1	2	26
0.641	1	0	65	2	2	12	125
0.641	1	0	65	2	3	28	469
0.641	1	0	65	2	4	8	85
0.641	1	0	65	2	6	14	157
0.641	1	0	65	2	1	2	26
0.642	1	0	65	3	2	12	125
0.642	1	0	65	3	3	28	469
0.642	1	0	65	3	4	8	85
0.642	1	0	65	3	6	14	157
0.642	1	0	65	3	1	2	26
0.643	1	0	65	4	2	12	125
0.643	1	0	65	4	3	28	469
0.643	1	0	65	4	4	8	85
0.643	1	0	65	4	6	14	157
0.643	1	0	65	4	1	2	26
0.644	1	0	65	5	2	12	125
0.644	1	0	65	5	3	28	469
0.644	1	0	65	5	4	8	85
0.644	1	0	65	5	6	14	157
0.644	1	0	65	5	1	2	26
0.645	1	0	65	6	2	12	125
0.645	1	0	65	6	3	28	469
0.645	1	0	65	6	4	8	85
0.645	1	0	65	6	6	14	157
0.645	1	0	65	6	1	2	26
0.646	1	0	65	7	2	12	125
0.646	1	0	65	7	3	28	469
0.646	1	0	65	7	4	8	85
0.646	1	0	65	7	6	14	157
0.646	1	0	65	7	1	2	26
0.647	1	0	65	8	2	12	125
0.647	1	0	65	8	3	28	469
0.647	1	0	65	8	4	8	85
0.647	1	0	65	8	6	14	157
